status,run_name,model_name,graph_type,horizon,seed,mae,rmse,masked_mape,is_synthetic_data
success,metr_la_5090_stgcn_full_identity_h3_s42_20260609_050913,stgcn_full,identity,3.0,42.0,3.1906359001108653,8.347862109546256,7.517076500234393,False
success,metr_la_5090_stgcn_full_identity_h3_s43_20260609_051749,stgcn_full,identity,3.0,43.0,3.192590790672015,8.381534453726308,7.485811916977846,False
success,metr_la_5090_stgcn_full_identity_h3_s44_20260609_052457,stgcn_full,identity,3.0,44.0,3.1908677490933988,8.349291276431092,7.5338471599308425,False
success,metr_la_5090_stgcn_full_identity_h6_s42_20260609_053213,stgcn_full,identity,6.0,42.0,3.913502000771423,10.250518956651664,9.175791022975584,False
success,metr_la_5090_stgcn_full_identity_h6_s43_20260609_054404,stgcn_full,identity,6.0,43.0,3.9193874906149038,10.21330820810144,9.20355617645907,False
success,metr_la_5090_stgcn_full_identity_h6_s44_20260609_055035,stgcn_full,identity,6.0,44.0,3.915331827766609,10.21578854441191,9.116630705459785,False
success,metr_la_5090_stgcn_full_identity_h12_s42_20260609_055838,stgcn_full,identity,12.0,42.0,5.0880182362857465,12.666685829212884,11.871755930533597,False
success,metr_la_5090_stgcn_full_identity_h12_s43_20260609_060957,stgcn_full,identity,12.0,43.0,5.100147054842793,12.618011654023427,11.872762816276893,False
success,metr_la_5090_stgcn_full_identity_h12_s44_20260609_061445,stgcn_full,identity,12.0,44.0,5.089761682420753,12.679016687540905,11.754699232596042,False
success,metr_la_5090_stgcn_full_physical_h3_s42_20260609_062344,stgcn_full,physical,3.0,42.0,3.094020771761541,8.29618858433072,7.193083253416857,False
success,metr_la_5090_stgcn_full_physical_h3_s43_20260609_063519,stgcn_full,physical,3.0,43.0,3.08519905377259,8.284911619922857,7.185155546448674,False
success,metr_la_5090_stgcn_full_physical_h3_s44_20260609_064525,stgcn_full,physical,3.0,44.0,3.093733849680355,8.289939281353075,7.170180341754334,False
success,metr_la_5090_stgcn_full_physical_h6_s42_20260609_065656,stgcn_full,physical,6.0,42.0,3.763321457977554,9.980269856129024,8.584511761699394,False
success,metr_la_5090_stgcn_full_physical_h6_s43_20260609_071022,stgcn_full,physical,6.0,43.0,3.7516284023150086,9.955678522814765,8.6422372152299,False
success,metr_la_5090_stgcn_full_physical_h6_s44_20260609_072343,stgcn_full,physical,6.0,44.0,3.7532723703633817,9.952311597839795,8.623648725009824,False
success,metr_la_5090_stgcn_full_physical_h12_s42_20260609_073502,stgcn_full,physical,12.0,42.0,4.7757755134554225,12.213315964955846,10.540806656325639,False
success,metr_la_5090_stgcn_full_physical_h12_s43_20260609_074825,stgcn_full,physical,12.0,43.0,4.798811053305165,12.232696428317967,10.661445923935869,False
success,metr_la_5090_stgcn_full_physical_h12_s44_20260609_080039,stgcn_full,physical,12.0,44.0,4.782885300804706,12.219750879383431,10.599522051808155,False
success,metr_la_5090_stgcn_full_correlation_h3_s42_20260609_081118,stgcn_full,correlation,3.0,42.0,3.1029450255999893,8.229355629633975,7.134167906830783,False
success,metr_la_5090_stgcn_full_correlation_h3_s43_20260609_081855,stgcn_full,correlation,3.0,43.0,3.0954338423287204,8.25247556027243,7.12398433499102,False
success,metr_la_5090_stgcn_full_correlation_h3_s44_20260609_082609,stgcn_full,correlation,3.0,44.0,3.1017398883534577,8.223327547661032,7.133505071350229,False
success,metr_la_5090_stgcn_full_correlation_h6_s42_20260609_083123,stgcn_full,correlation,6.0,42.0,3.762439749711614,9.906933329031107,8.596675652304341,False
success,metr_la_5090_stgcn_full_correlation_h6_s43_20260609_083854,stgcn_full,correlation,6.0,43.0,3.7701365536773426,9.915931824802263,8.525024389352218,False
success,metr_la_5090_stgcn_full_correlation_h6_s44_20260609_084635,stgcn_full,correlation,6.0,44.0,3.769384717176732,9.888094391364877,8.656344945021134,False
success,metr_la_5090_stgcn_full_correlation_h12_s42_20260609_085440,stgcn_full,correlation,12.0,42.0,4.728021466767248,11.988075673905259,10.524328949642884,False
success,metr_la_5090_stgcn_full_correlation_h12_s43_20260609_090133,stgcn_full,correlation,12.0,43.0,4.739799306299853,12.094465558847439,10.362453072025938,False
success,metr_la_5090_stgcn_full_correlation_h12_s44_20260609_090944,stgcn_full,correlation,12.0,44.0,4.759799616835554,12.076797458098108,10.461502355503981,False
skipped,,stgcn_full,adaptive,,,,,,
success,metr_la_5090_graph_wavenet_full_identity_h3_s42_20260609_091726,graph_wavenet_full,identity,3.0,42.0,3.065289812736523,8.2924904911197,6.7524520194516695,False
success,metr_la_5090_graph_wavenet_full_identity_h3_s43_20260609_094156,graph_wavenet_full,identity,3.0,43.0,2.9963532152903216,7.979930723433402,6.8059931914122105,False
success,metr_la_5090_graph_wavenet_full_identity_h3_s44_20260609_100122,graph_wavenet_full,identity,3.0,44.0,3.047250804460309,8.238401777985533,6.939236347635297,False
success,metr_la_5090_graph_wavenet_full_identity_h6_s42_20260609_103117,graph_wavenet_full,identity,6.0,42.0,3.7021542828085416,9.820537590536615,8.52485367004413,False
success,metr_la_5090_graph_wavenet_full_identity_h6_s43_20260609_105021,graph_wavenet_full,identity,6.0,43.0,3.6013445938329767,9.706585250510992,7.93153540425341,False
success,metr_la_5090_graph_wavenet_full_identity_h6_s44_20260609_112756,graph_wavenet_full,identity,6.0,44.0,3.7239221334301873,9.895051899505262,8.293847639783714,False
success,metr_la_5090_graph_wavenet_full_identity_h12_s42_20260609_115114,graph_wavenet_full,identity,12.0,42.0,4.538950232415888,11.894842458480468,9.791862662037303,False
success,metr_la_5090_graph_wavenet_full_identity_h12_s43_20260609_122532,graph_wavenet_full,identity,12.0,43.0,4.509316795648351,11.83624745483666,9.684896868204989,False
success,metr_la_5090_graph_wavenet_full_identity_h12_s44_20260609_125841,graph_wavenet_full,identity,12.0,44.0,4.604949594612393,11.933819111833952,9.922512700377156,False
success,metr_la_5090_graph_wavenet_full_physical_h3_s42_20260609_131510,graph_wavenet_full,physical,3.0,42.0,2.9853821805638106,8.009213453586995,6.616521812920658,False
success,metr_la_5090_graph_wavenet_full_physical_h3_s43_20260609_132828,graph_wavenet_full,physical,3.0,43.0,2.9814517430051595,7.960610290063194,6.597652729968552,False
